https://fbref.com/en/comps/1/shooting/World-Cup-Stats
,,,,,,,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,,-additional
Rk,Player,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,Matches,-9999
1,Brenden Aaronson,MF,us USA,25,2000,0.8,0,3,1,33.3,3.55,1.18,0.00,0.00,0,0,Matches,5bc43860
2,Thelo Aasgaard,MF,no Norway,24,2002,1.0,1,2,1,50.0,2.00,1.00,0.50,1.00,0,0,Matches,c88a28b9
3,Hamza Abdelkarim,FW,eg Egypt,18,2008,0.7,0,0,0,,0.00,0.00,,,0,0,Matches,057d8f12
4,Hossam Abdelmaguid,DF,eg Egypt,25,2001,0.7,0,0,0,,0.00,0.00,,,0,0,Matches,accbfc94
5,Mohamed Abdelmonem,DF,eg Egypt,27,1999,0.2,0,0,0,,0.00,0.00,,,0,0,Matches,bff15d74
6,Ali Abdi,DF,tn Tunisia,32,1993,3.0,0,1,0,0.0,0.33,0.00,0.00,,0,0,Matches,ad7cdb35
7,Saud Abdulhamid,DF,sa Saudi Arabia,26,1999,3.0,0,2,0,0.0,0.67,0.00,0.00,,0,0,Matches,caa254e4
8,Abdulla Abdullaev,DF,uz Uzbekistan,28,1997,2.0,0,0,0,,0.00,0.00,,,0,0,Matches,03053fbf
9,Yusuf Abdurisag,FW,qa Qatar,26,1999,1.1,0,0,0,,0.00,0.00,,,0,0,Matches,13c8f40b
10,Husam Abu Dahab,DF,jo Jordan,26,2000,2.0,0,0,0,,0.00,0.00,,,0,0,Matches,300aaeb6
11,Mohammad Abu Hasheesh,DF,jo Jordan,31,1995,0.1,0,0,0,,0.00,0.00,,,0,0,Matches,72c2fa7a
12,Mohannad Abu Taha,DF,jo Jordan,23,2003,2.9,0,1,0,0.0,0.34,0.00,0.00,,0,0,Matches,5c4bac6c
13,Mo Abualnadi,DF,jo Jordan,25,2001,0.8,0,0,0,,0.00,0.00,,,0,0,Matches,4bff62e4
14,Yazeed Abulaila,GK,jo Jordan,33,1993,3.0,0,0,0,,0.00,0.00,,,0,0,Matches,5d11fc17
15,Mahmoud Abunada,GK,qa Qatar,26,2000,3.0,0,0,0,,0.00,0.00,,,0,0,Matches,27e7e545
16,Elias Achouri,FWMF,tn Tunisia,27,1999,0.5,0,3,1,33.3,6.28,2.09,0.00,0.00,0,0,Matches,4dd2a0be
17,Ché Adams,FW,sct Scotland,29,1996,1.6,0,1,1,100.0,0.62,0.62,0.00,0.00,0,0,Matches,f2bf1b0f
18,Jayden Adams,MF,za South Africa,25,2001,1.3,0,0,0,,0.00,0.00,,,0,0,Matches,259affab
19,Tyler Adams,MF,us USA,27,1999,3.8,0,0,0,,0.00,0.00,,,0,0,Matches,2b09d998
20,Ricardo Adé,DF,ht Haiti,36,1990,3.0,0,4,1,25.0,1.33,0.33,0.00,0.00,0,0,Matches,a9ee5e81
21,Ibrahim Adel,MF,eg Egypt,25,2001,0.0,0,0,0,,0.00,0.00,,,0,0,Matches,4869216e
22,Simon Adingra,FWMF,ci Côte d'Ivoire,24,2002,0.2,0,0,0,,0.00,0.00,,,0,0,Matches,4dcec659
23,Jonas Adjetey,DF,gh Ghana,22,2003,2.5,0,2,1,50.0,0.80,0.40,0.00,0.00,0,0,Matches,bdbf78cd
24,Michel Aebischer,MFFW,ch Switzerland,29,1997,1.7,0,2,1,50.0,1.15,0.58,0.00,0.00,0,0,Matches,f9c927de
25,Akram Afif,FWMF,qa Qatar,29,1996,2.6,0,2,0,0.0,0.76,0.00,0.00,,0,0,Matches,fd53d9e7
26,Emmanuel Agbadou,DF,ci Côte d'Ivoire,28,1997,3.0,0,3,1,33.3,1.00,0.33,0.00,0.00,0,0,Matches,75f1ed80
27,Rodrigo Aguirre,FW,uy Uruguay,31,1994,0.0,0,0,0,,0.00,0.00,,,0,0,Matches,b5691f5d
28,Ali Ahmed,MF,ca Canada,25,2000,2.6,0,2,1,50.0,0.77,0.38,0.00,0.00,0,0,Matches,540a5be1
29,Homam Ahmed,DF,qa Qatar,26,1999,1.4,0,1,0,0.0,0.74,0.00,0.00,,0,0,Matches,a62fa158
30,Rayan Aït-Nouri,DF,dz Algeria,25,2001,3.2,0,1,0,0.0,0.32,0.00,0.00,,0,0,Matches,9b398aea
31,Kristoffer Ajer,DF,no Norway,28,1998,5.3,0,2,1,50.0,0.37,0.19,0.00,0.00,0,0,Matches,a8c0acb7
32,Manuel Akanji,DF,ch Switzerland,30,1995,6.7,0,1,1,100.0,0.15,0.15,0.00,0.00,0,0,Matches,89ac64a6
33,Nathan Aké,DF,nl Netherlands,31,1995,1.9,0,1,0,0.0,0.53,0.00,0.00,,0,0,Matches,eaeca114
34,Yunus Akgün,MF,tr Türkiye,25,2000,1.0,0,0,0,,0.00,0.00,,,0,0,Matches,1453e3cf
35,Maghnes Akliouche,MF,fr France,24,2002,0.1,0,0,0,,0.00,0.00,,,0,0,Matches,b625b241
36,Kerem Aktürkoğlu,FW,tr Türkiye,27,1998,1.4,0,3,1,33.3,2.09,0.70,0.00,0.00,0,0,Matches,f28659fb
37,Ahmed Alaaeldin,FW,qa Qatar,33,1993,0.5,0,1,1,100.0,2.09,2.09,0.00,0.00,0,0,Matches,74fbbb3c
38,David Alaba,DF,at Austria,33,1992,3.1,0,2,0,0.0,0.65,0.00,0.00,,0,0,Matches,05439de2
39,Kerim Alajbegović,MF,ba Bosnia–Herz,18,2007,3.1,1,4,1,25.0,1.30,0.32,0.25,1.00,0,0,Matches,f3d9291e
40,Jordy Alcivar,MF,ec Ecuador,26,1999,0.5,0,1,0,0.0,2.00,0.00,0.00,,0,0,Matches,6e98c19f
41,Omar Alderete,DF,py Paraguay,29,1996,3.6,0,1,0,0.0,0.28,0.00,0.00,,0,0,Matches,bb08bce9
42,Almoez Ali,FW,qa Qatar,29,1996,0.2,0,1,1,100.0,4.74,4.74,0.00,0.00,0,0,Matches,bae045a9
43,Hussein Ali,DF,iq Iraq,24,2002,1.8,0,1,0,0.0,0.56,0.00,0.00,,0,0,Matches,b8a919ad
44,Mohanad Ali,FW,iq Iraq,25,2000,0.1,0,0,0,,0.00,0.00,,,0,0,Matches,f929049b
45,Taha Ali,FWMF,se Sweden,27,1998,0.4,0,0,0,,0.00,0.00,,,0,0,Matches,da4b8a4e
46,Khojiakbar Alijonov,MF,uz Uzbekistan,29,1997,1.5,0,0,0,,0.00,0.00,,,0,0,Matches,e53cbd7a
47,Ali Alipour,FW,ir IR Iran,30,1995,0.4,0,1,0,0.0,2.37,0.00,0.00,,0,0,Matches,488ee64c
48,Alisson,GK,br Brazil,33,1992,5.0,0,0,0,,0.00,0.00,,,0,0,Matches,7a2e46a8
49,Thiago Almada,MF,ar Argentina,25,2001,2.7,0,5,2,40.0,1.87,0.75,0.00,0.00,0,0,Matches,27f33438
50,Miguel Almirón,MFFW,py Paraguay,32,1994,3.1,0,4,0,0.0,1.28,0.00,0.00,,0,0,Matches,862a1c15
51,Júnior Alonso,DF,py Paraguay,33,1993,4.3,0,3,1,33.3,0.69,0.23,0.00,0.00,0,0,Matches,b18a3023
52,Barış Alper Yılmaz,MFFW,tr Türkiye,26,2000,2.0,1,2,1,50.0,1.01,0.50,0.50,1.00,0,0,Matches,414b2ce4
53,Roberto Alvarado,FWMF,mx Mexico,27,1998,4.8,0,5,0,0.0,1.05,0.00,0.00,,0,0,Matches,ff871e14
54,Edson Álvarez,MFDF,mx Mexico,28,1997,2.7,0,2,0,0.0,0.75,0.00,0.00,,0,0,Matches,8b3ab7ad
55,Julián Álvarez,FW,ar Argentina,26,2000,6.7,1,11,5,45.5,1.64,0.75,0.09,0.20,0,0,Matches,15ab5a2b
56,Ayoube Amaimouni,MF,ma Morocco,21,2004,0.2,0,2,1,50.0,10.00,5.00,0.00,0.00,0,0,Matches,c5a07a5e
57,Zeki Amdouni,FWMF,ch Switzerland,25,2000,0.8,0,1,0,0.0,1.23,0.00,0.00,,0,0,Matches,2ee5b0c9
58,Michael Amir Murillo,DFMF,pa Panama,30,1996,3.0,0,5,1,20.0,1.67,0.33,0.00,0.00,0,0,Matches,349cae8f
59,Nadiem Amiri,MF,de Germany,29,1996,0.5,0,2,1,50.0,4.29,2.14,0.00,0.00,0,0,Matches,555d5edd
60,Amir Al Ammari,MF,iq Iraq,28,1997,2.7,0,0,0,,0.00,0.00,,,0,0,Matches,9f65be73
61,Azizbek Amonov,FW,uz Uzbekistan,28,1997,0.2,0,1,0,0.0,6.43,0.00,0.00,,0,0,Matches,f487314f
62,Mohamed Amoura,FWMF,dz Algeria,26,2000,0.3,0,0,0,,0.00,0.00,,,0,0,Matches,6597f8b6
63,Sofyan Amrabat,MF,ma Morocco,29,1996,1.6,0,0,0,,0.00,0.00,,,0,0,Matches,5a2cb25d
64,Abdulelah Al-Amri,DF,sa Saudi Arabia,29,1997,2.7,1,4,2,50.0,1.51,0.75,0.25,0.50,0,0,Matches,fd0affe3
65,Youssef Amyn,MF,iq Iraq,22,2003,0.3,0,0,0,,0.00,0.00,,,0,0,Matches,10c12f22
66,Elliot Anderson,MF,eng England,23,2002,7.0,0,7,1,14.3,1.00,0.14,0.00,0.00,0,0,Matches,de31038e
67,Andrés Andrade Cedeño,DF,pa Panama,27,1998,3.0,0,0,0,,0.00,0.00,,,0,0,Matches,6ea23758
68,Fredrik André Bjørkan,DF,no Norway,27,1998,0.5,0,0,0,,0.00,0.00,,,0,0,Matches,3724baa1
69,Nilson Angulo,MF,ec Ecuador,22,2003,2.4,1,2,2,100.0,0.83,0.83,0.50,0.50,0,0,Matches,a9b9d89c
70,Waldemar Anton,DFMF,de Germany,29,1996,0.6,0,1,1,100.0,1.80,1.80,0.00,0.00,0,0,Matches,5e66fa06
71,Jeremy Antonisse,FWMF,cw Curaçao,24,2002,0.8,0,1,0,0.0,1.20,0.00,0.00,,0,0,Matches,6011e63a
72,Houssem Aouar,MF,dz Algeria,27,1998,1.9,0,3,1,33.3,1.56,0.52,0.00,0.00,0,0,Matches,a5db0bec
73,Oswin Appollis,MFFW,za South Africa,24,2001,2.8,0,4,1,25.0,1.41,0.35,0.00,0.00,0,0,Matches,e8933eb0
74,Yazan Al-Arab,DF,jo Jordan,30,1996,3.0,0,0,0,,0.00,0.00,,,0,0,Matches,32878a09
75,Maxi Araújo,FWMF,uy Uruguay,26,2000,2.8,2,4,3,75.0,1.44,1.08,0.50,0.67,0,0,Matches,f9ab3f4a
76,Tomás Araújo,DF,pt Portugal,24,2002,1.0,0,0,0,,0.00,0.00,,,0,0,Matches,0fa11d7d
77,Telmo Arcanjo,MF,cv Cabo Verde,24,2001,0.6,0,0,0,,0.00,0.00,,,0,0,Matches,c692cef2
78,Álex Arce,FW,py Paraguay,30,1995,0.6,0,0,0,,0.00,0.00,,,0,0,Matches,10411db2
79,Carlens Arcus,MFDF,ht Haiti,29,1996,1.6,0,0,0,,0.00,0.00,,,0,0,Matches,5e837126
80,Max Arfsten,MF,us USA,25,2001,0.0,0,0,0,,0.00,0.00,,,0,0,Matches,668f881e
81,Jhon Arias,MF,co Colombia,28,1997,4.2,1,9,4,44.4,2.15,0.95,0.11,0.25,0,0,Matches,86d96066
82,Santiago Arias,DF,co Colombia,34,1992,1.0,0,0,0,,0.00,0.00,,,0,0,Matches,fdd60087
83,Marko Arnautović,FW,at Austria,37,1989,1.6,2,3,3,100.0,1.87,1.87,0.67,0.67,1,1,Matches,00459419
84,Benjamin Asare,GK,gh Ghana,33,1992,2.5,0,0,0,,0.00,0.00,,,0,0,Matches,4bb65492
85,Emam Ashour,MF,eg Egypt,28,1998,4.0,2,10,2,20.0,2.49,0.50,0.20,1.00,0,0,Matches,31b7d437
86,Rustam Ashurmatov,DF,uz Uzbekistan,29,1996,2.8,0,0,0,,0.00,0.00,,,0,0,Matches,a0ecd397
87,Lawrence Ati-Zigi,GK,gh Ghana,29,1996,1.5,0,0,0,,0.00,0.00,,,0,0,Matches,a12402c3
88,Marwan Attia,MF,eg Egypt,27,1998,4.8,0,4,0,0.0,0.83,0.00,0.00,,0,0,Matches,1ea3d7ec
89,Fredrik Aursnes,MFDF,no Norway,30,1995,3.4,0,2,0,0.0,0.59,0.00,0.00,,0,0,Matches,f0677ed7
90,Gabriel Ávalos,FW,py Paraguay,35,1990,1.6,0,1,0,0.0,0.64,0.00,0.00,,0,0,Matches,b6781b67
91,Yasin Ayari,MF,se Sweden,22,2003,3.8,2,7,3,42.9,1.86,0.80,0.29,0.67,0,0,Matches,f173303a
92,Oğuz Aydın,DF,tr Türkiye,25,2000,1.0,0,0,0,,0.00,0.00,,,0,0,Matches,a7b98226
93,Jordan Ayew,FW,gh Ghana,34,1991,3.3,0,0,0,,0.00,0.00,,,0,0,Matches,da052c14
94,Kaan Ayhan,DFMF,tr Türkiye,31,1994,0.0,1,1,1,100.0,30.00,30.00,1.00,1.00,0,0,Matches,2200181e
95,Neil El Aynaoui,MF,ma Morocco,24,2001,6.2,0,7,2,28.6,1.12,0.32,0.00,0.00,0,0,Matches,17e1261b
96,Ali Azaizeh,MF,jo Jordan,22,2004,0.6,0,2,0,0.0,3.33,0.00,0.00,,0,0,Matches,3a46ac67
97,Juninho Bacuna,MF,cw Curaçao,28,1997,2.8,0,5,1,20.0,1.77,0.35,0.00,0.00,0,0,Matches,aaf1bf05
98,Leandro Bacuna,MF,cw Curaçao,34,1991,3.0,0,6,1,16.7,2.00,0.33,0.00,0.00,0,0,Matches,9dc69d38
99,Álex Baena,MFFW,es Spain,24,2001,5.3,1,12,5,41.7,2.25,0.94,0.08,0.20,0,0,Matches,518f2234
100,Esmir Bajraktarevic,MF,ba Bosnia–Herz,21,2005,2.6,0,3,2,66.7,1.17,0.78,0.00,0.00,0,0,Matches,dff24174
